Wall time,Step,Value
1673990321.8676622,1,0.1137000024318695
1673990335.567589,2,0.17790000140666962
1673990349.297411,3,0.336899995803833
1673990363.1343,4,0.42179998755455017
1673990377.032109,5,0.45419999957084656
1673990390.49278,6,0.508400022983551
1673990404.303838,7,0.554099977016449
1673990418.033694,8,0.6007000207901001
1673990432.166372,9,0.6287000179290771
1673990445.568386,10,0.6610000133514404
1673990459.138366,11,0.683899998664856
1673990472.934398,12,0.7070000171661377
1673990486.6962922,13,0.723800003528595
1673990500.7027168,14,0.7473000288009644
1673990514.365879,15,0.7558000087738037
1673990527.844991,16,0.7670999765396118
1673990543.080801,17,0.7774999737739563
1673990556.37327,18,0.782800018787384
1673990571.0213969,19,0.791700005531311
1673990584.868837,20,0.800599992275238
1673990598.401032,21,0.8070999979972839
1673990611.982782,22,0.8083000183105469
1673990625.294152,23,0.8129000067710876
1673990638.974025,24,0.8174999952316284
1673990652.5449889,25,0.821399986743927
1673990665.957809,26,0.8252999782562256
1673990679.4439669,27,0.829200029373169
1673990693.0382268,28,0.8324999809265137
1673990706.144993,29,0.8363000154495239
1673990719.428544,30,0.8364999890327454
1673990732.9035058,31,0.8373000025749207
1673990747.03856,32,0.8417999744415283
1673990760.758882,33,0.8446000218391418
1673990773.845706,34,0.8478000164031982
1673990787.2722602,35,0.8471999764442444
1673990800.3592162,36,0.8489999771118164
1673990813.985673,37,0.8504999876022339
1673990827.406585,38,0.8521999716758728
1673990840.988977,39,0.855400025844574
1673990854.416539,40,0.8574000000953674
1673990867.8270762,41,0.8578000068664551
1673990881.153801,42,0.8586000204086304
1673990894.460783,43,0.8633000254631042
1673990908.657181,44,0.8641999959945679
1673990922.4913988,45,0.8651999831199646
1673990935.9913669,46,0.8664000034332275
1673990949.5693629,47,0.8662999868392944
1673990963.185195,48,0.867900013923645
1673990976.790802,49,0.8686000108718872
1673990990.133044,50,0.8704000115394592
1673991003.6730292,51,0.8720999956130981
1673991017.134315,52,0.8716999888420105
1673991030.5564768,53,0.8727999925613403
1673991043.980962,54,0.8751000165939331
1673991057.541295,55,0.8754000067710876
1673991070.9690418,56,0.8780999779701233
1673991084.502696,57,0.8787000179290771
1673991097.916219,58,0.8797000050544739
1673991111.4826932,59,0.881600022315979
1673991124.868968,60,0.8808000087738037
1673991138.4675698,61,0.8831999897956848
1673991152.249869,62,0.8826000094413757
1673991165.969085,63,0.8841000199317932
1673991179.648926,64,0.8841000199317932
1673991193.160012,65,0.8845999836921692
1673991207.241517,66,0.883899986743927
1673991220.9976718,67,0.8858000040054321
1673991234.8605871,68,0.8870999813079834
1673991248.664654,69,0.8873000144958496
1673991262.489158,70,0.8889999985694885
1673991276.788369,71,0.8895999789237976
1673991290.928032,72,0.8901000022888184
1673991305.119746,73,0.8913000226020813
1673991319.068039,74,0.8920999765396118
1673991333.309999,75,0.8924000263214111
1673991348.167059,76,0.8931000232696533
1673991362.614511,77,0.8939999938011169
1673991376.187756,78,0.8949999809265137
1673991389.836551,79,0.8952999711036682
1673991403.8405619,80,0.8955000042915344
1673991418.319932,81,0.896399974822998
1673991432.0535839,82,0.8967999815940857
1673991447.135154,83,0.8982999920845032
1673991460.9242492,84,0.8988999724388123
1673991474.220101,85,0.8984000086784363
1673991487.899916,86,0.8985000252723694
1673991501.410639,87,0.8999999761581421
1673991514.7660868,88,0.8991000056266785
1673991528.0934138,89,0.899399995803833
1673991541.460511,90,0.8996000289916992
1673991555.092544,91,0.9017999768257141
1673991568.589686,92,0.9017999768257141
1673991582.109658,93,0.9024999737739563
1673991596.454658,94,0.9024999737739563
1673991609.967073,95,0.9027000069618225
1673991624.20953,96,0.9035999774932861
1673991638.1265652,97,0.9035000205039978
1673991651.525208,98,0.9041000008583069
1673991665.331511,99,0.904699981212616
1673991678.9296792,100,0.9049999713897705
